0 0
3 19
7 28
0 0

10 42
3 19
7 28
10 42

3 14
6 38
10 42
3 14

13 56
6 38
10 42
13 56

6 28
9 57
13 56
6 28

16 70
9 57
13 56
16 70

9 42
12 76
16 70
9 42

19 84
12 76
16 70
19 84

12 56
15 95
19 84
12 56

22 98
15 95
19 84
22 98

15 70
18 114
22 98
15 70

25 112
18 114
22 98
25 112

18 84
21 133
25 112
18 84

28 126
21 133
25 112
28 126

21 98
24 152
28 126
21 98

31 140
24 152
28 126
31 140

24 112
27 171
31 140
24 112

34 154
27 171
31 140
34 154

27 126
30 190
34 154
27 126

37 168
30 190
34 154
37 168

7 28
10 47
14 56
7 28

17 70
10 47
14 56
17 70

10 42
13 66
17 70
10 42

20 84
13 66
17 70
20 84

13 56
16 85
20 84
13 56

23 98
16 85
20 84
23 98

16 70
19 104
23 98
16 70

26 112
19 104
23 98
26 112

19 84
22 123
26 112
19 84

29 126
22 123
26 112
29 126

22 98
25 142
29 126
22 98

32 140
25 142
29 126
32 140

25 112
28 161
32 140
25 112

35 154
28 161
32 140
35 154

28 126
31 180
35 154
28 126

38 168
31 180
35 154
38 168

31 140
34 199
38 168
31 140

41 182
34 199
38 168
41 182

34 154
37 218
41 182
34 154

44 196
37 218
41 182
44 196

14 56
17 75
21 84
14 56

24 98
17 75
21 84
24 98

17 70
20 94
24 98
17 70

27 112
20 94
24 98
27 112

20 84
23 113
27 112
20 84

30 126
23 113
27 112
30 126

23 98
26 132
30 126
23 98

33 140
26 132
30 126
33 140

26 112
29 151
33 140
26 112

36 154
29 151
33 140
36 154

29 126
32 170
36 154
29 126

39 168
32 170
36 154
39 168

32 140
35 189
39 168
32 140

42 182
35 189
39 168
42 182

35 154
38 208
42 182
35 154

45 196
38 208
42 182
45 196

38 168
41 227
45 196
38 168

48 210
41 227
45 196
48 210

41 182
44 246
48 210
41 182

51 224
44 246
48 210
51 224

21 84
24 103
28 112
21 84

31 126
24 103
28 112
31 126

24 98
27 122
31 126
24 98

34 140
27 122
31 126
34 140

27 112
30 141
34 140
27 112

37 154
30 141
34 140
37 154

30 126
33 160
37 154
30 126

40 168
33 160
37 154
40 168

33 140
36 179
40 168
33 140

43 182
36 179
40 168
43 182

36 154
39 198
43 182
36 154

46 196
39 198
43 182
46 196

39 168
42 217
46 196
39 168

49 210
42 217
46 196
49 210

42 182
45 236
49 210
42 182

52 224
45 236
49 210
52 224

45 196
48 255
52 224
45 196

55 238
48 255
52 224
55 238

48 210
51 274
55 238
48 210

58 252
51 274
55 238
58 252

28 112
31 131
35 140
28 112

38 154
31 131
35 140
38 154

31 126
34 150
38 154
31 126

41 168
34 150
38 154
41 168

34 140
37 169
41 168
34 140

44 182
37 169
41 168
44 182

37 154
40 188
44 182
37 154

47 196
40 188
44 182
47 196

40 168
43 207
47 196
40 168

50 210
43 207
47 196
50 210

43 182
46 226
50 210
43 182

53 224
46 226
50 210
53 224

46 196
49 245
53 224
46 196

56 238
49 245
53 224
56 238

49 210
52 264
56 238
49 210

59 252
52 264
56 238
59 252

52 224
55 283
59 252
52 224

62 266
55 283
59 252
62 266

55 238
58 302
62 266
55 238

65 280
58 302
62 266
65 280

35 140
38 159
42 168
35 140

45 182
38 159
42 168
45 182

38 154
41 178
45 182
38 154

48 196
41 178
45 182
48 196

41 168
44 197
48 196
41 168

51 210
44 197
48 196
51 210

44 182
47 216
51 210
44 182

54 224
47 216
51 210
54 224

47 196
50 235
54 224
47 196

57 238
50 235
54 224
57 238

50 210
53 254
57 238
50 210

60 252
53 254
57 238
60 252

53 224
56 273
60 252
53 224

63 266
56 273
60 252
63 266

56 238
59 292
63 266
56 238

66 280
59 292
63 266
66 280

59 252
62 311
66 280
59 252

69 294
62 311
66 280
69 294

62 266
65 330
69 294
62 266

72 308
65 330
69 294
72 308

42 168
45 187
49 196
42 168

52 210
45 187
49 196
52 210

45 182
48 206
52 210
45 182

55 224
48 206
52 210
55 224

48 196
51 225
55 224
